Symbol,GPA,Remarks
00100261E,2.75,COMPLETED
00100262F,2.70,COMPLETED
00100263G,2.80,COMPLETED
00100264H,2.90,COMPLETED
00100265I,3.30,COMPLETED
00100266J,3.55,COMPLETED
00100267K,2.85,COMPLETED
00100268L,2.80,COMPLETED
00100269M,3.50,COMPLETED
00100270N,3.45,COMPLETED
00100271O,2.95,COMPLETED
00100272P,3.30,COMPLETED
00100273Q,2.85,COMPLETED
00100274R,2.75,COMPLETED
00100275S,2.80,COMPLETED
00100276T,2.90,COMPLETED
00100277U,2.90,COMPLETED
00100278V,3.05,COMPLETED
00100279W,2.80,COMPLETED
00100280X,2.85,COMPLETED
00100281Y,2.85,COMPLETED
00100282Z,2.70,COMPLETED
00100283A,2.75,COMPLETED
00100284B,2.70,COMPLETED
00100285C,2.75,COMPLETED
00100286D,2.65,COMPLETED
00100287E,,ABSENT8
00100288F,3.25,COMPLETED
00100289G,2.90,COMPLETED
00100290H,2.85,COMPLETED
00100291I,2.30,COMPLETED
00100292J,2.45,COMPLETED
00100293K,2.75,COMPLETED
00100294L,2.35,COMPLETED
00100295M,2.15,COMPLETED
00100296N,2.40,COMPLETED
00100297O,2.20,COMPLETED
00100298P,2.10,COMPLETED
00100299Q,2.15,COMPLETED
00100300R,2.20,COMPLETED
00100301S,2.05,COMPLETED
00100302T,2.35,COMPLETED
00100303U,2.65,COMPLETED
00100304V,2.10,COMPLETED
00100305W,2.20,COMPLETED
00100306X,2.00,COMPLETED
00100307Y,2.10,COMPLETED
00100308Z,2.35,COMPLETED
00100309A,2.20,COMPLETED
00100310B,2.10,COMPLETED
00100311C,2.10,COMPLETED
00100312D,,ABSENT8
00100313E,,ABSENT8
00100314F,2.15,COMPLETED
00100315G,2.05,COMPLETED
00100316H,2.45,COMPLETED
00100317I,2.50,COMPLETED
00100318J,2.35,COMPLETED
00100319K,2.65,COMPLETED
00100320L,2.20,COMPLETED
00100321M,2.75,COMPLETED
00100322N,2.90,COMPLETED
00100323O,2.55,COMPLETED
00100324P,3.50,COMPLETED
00100325Q,2.55,COMPLETED
00100326R,2.85,COMPLETED
00100327S,2.15,COMPLETED
00100328T,2.15,COMPLETED
00100329U,2.50,COMPLETED
00100330V,2.45,COMPLETED
00100331W,2.30,COMPLETED
00100332X,2.15,COMPLETED
00100333Y,2.20,COMPLETED
00100334Z,2.05,COMPLETED
00100335A,2.10,COMPLETED
00100336B,2.35,COMPLETED
00100337C,2.70,COMPLETED
00100338D,,ABSENT8
00100339E,2.15,COMPLETED
00100340F,2.05,COMPLETED
00100341G,2.35,COMPLETED
00100342H,2.15,COMPLETED
00100343I,2.70,COMPLETED
00100344J,2.70,COMPLETED
00100345K,2.70,COMPLETED
00100346L,2.70,COMPLETED
00100347M,2.75,COMPLETED
00100348N,3.10,COMPLETED
00100349O,2.85,COMPLETED
00100350P,2.80,COMPLETED
00100351Q,2.80,COMPLETED
00100352R,2.95,COMPLETED
00100353S,2.95,COMPLETED
00100354T,2.75,COMPLETED
00100355U,2.90,COMPLETED
00100356V,2.90,COMPLETED
00100357W,2.90,COMPLETED
00100358X,2.85,COMPLETED
00100359Y,2.85,COMPLETED
00100360Z,2.95,COMPLETED
00100361A,2.85,COMPLETED
00100362B,2.80,COMPLETED
00100363C,2.80,COMPLETED
00100364D,2.90,COMPLETED
00100365E,2.70,COMPLETED
00100366F,3.10,COMPLETED
00100367G,3.10,COMPLETED
00100368H,2.35,COMPLETED
00100369I,2.35,COMPLETED
00100370J,2.15,COMPLETED
00100371K,2.85,COMPLETED
00100372L,2.50,COMPLETED
00100373M,3.05,COMPLETED
00100374N,2.75,COMPLETED
00100375O,2.35,COMPLETED
00100376P,2.15,COMPLETED
00100377Q,2.40,COMPLETED
00100378R,2.15,COMPLETED
00100379S,2.35,COMPLETED
00100380T,2.35,COMPLETED
00100381U,2.70,COMPLETED
00100382V,2.15,COMPLETED
00100383W,2.35,COMPLETED
00100384X,2.25,COMPLETED
00100385Y,2.15,COMPLETED
00100386Z,2.20,COMPLETED
00100387A,2.35,COMPLETED
00100388B,2.20,COMPLETED
00100389C,2.35,COMPLETED
00100390D,2.70,COMPLETED
00100391E,3.35,COMPLETED
00100392F,2.35,COMPLETED
00100393G,2.35,COMPLETED
00100394H,2.35,COMPLETED
00100395I,2.75,COMPLETED
00100396J,2.15,COMPLETED
00100397K,2.20,COMPLETED
00100398L,2.20,COMPLETED
00100399M,,ABSENT8
00100400N,2.20,COMPLETED
00100401O,2.75,COMPLETED
00100402P,2.90,COMPLETED
00100403Q,3.85,COMPLETED
00100404R,2.75,COMPLETED
00100405S,3.00,COMPLETED
00100406T,2.95,COMPLETED
00100407U,2.95,COMPLETED
00100408V,2.85,COMPLETED
00100409W,2.95,COMPLETED
00100410X,2.80,COMPLETED
00100411Y,3.15,COMPLETED
00100412Z,2.90,COMPLETED
00100413A,3.10,COMPLETED
00100414B,2.85,COMPLETED
00100415C,2.85,COMPLETED
00100416D,2.80,COMPLETED
00100417E,2.95,COMPLETED
00100418F,2.90,COMPLETED
00100419G,2.75,COMPLETED
00100420H,3.35,COMPLETED
00100421I,3.10,COMPLETED
00100422J,3.00,COMPLETED
00100423K,2.90,COMPLETED
00100424L,3.00,COMPLETED
00100425M,3.05,COMPLETED
00100426N,3.25,COMPLETED
00100427O,2.90,COMPLETED
00100428P,2.90,COMPLETED
00100429Q,3.00,COMPLETED
00100430R,3.00,COMPLETED
00100431S,3.40,COMPLETED
00100432T,3.00,COMPLETED
00100433U,2.95,COMPLETED
00100434V,2.95,COMPLETED
00100435W,3.30,COMPLETED
00100436X,3.05,COMPLETED
00100437Y,2.95,COMPLETED
00100438Z,2.95,COMPLETED
00100439A,2.90,COMPLETED
00100440B,3.10,COMPLETED
00100441C,2.95,COMPLETED
00100442D,3.15,COMPLETED
00100443E,2.90,COMPLETED
00100444F,3.20,COMPLETED
00100445G,2.95,COMPLETED
00100446H,2.95,COMPLETED
00100447I,2.85,COMPLETED
00100448J,2.80,COMPLETED
00100449K,2.90,COMPLETED
00100450L,2.25,COMPLETED
00100451M,2.25,COMPLETED
00100452N,2.25,COMPLETED
00100453O,2.20,COMPLETED
00100454P,2.30,COMPLETED
00100455Q,2.15,COMPLETED
00100456R,2.30,COMPLETED
00100457S,2.30,COMPLETED
00100458T,2.25,COMPLETED
00100459U,2.15,COMPLETED
00100460V,2.30,COMPLETED
00100461W,2.20,COMPLETED
00100462X,2.25,COMPLETED
00100463Y,2.50,COMPLETED
00100464Z,2.30,COMPLETED
00100465A,2.35,COMPLETED
00100466B,2.50,COMPLETED
00100467C,2.30,COMPLETED
00100468D,2.20,COMPLETED
00100469E,2.25,COMPLETED
00100470F,2.35,COMPLETED
00100471G,2.30,COMPLETED
00100472H,2.35,COMPLETED
00100473I,2.35,COMPLETED
00100474J,2.25,COMPLETED
00100475K,2.15,COMPLETED
00100476L,2.30,COMPLETED
00100477M,2.30,COMPLETED
00100478N,2.30,COMPLETED
00100479O,2.35,COMPLETED
00100480P,2.30,COMPLETED
00100481Q,2.35,COMPLETED
00100482R,3.25,COMPLETED
00100483S,3.30,COMPLETED
00100484T,2.45,COMPLETED
00100485U,2.50,COMPLETED
00100486V,2.45,COMPLETED
00100487W,2.40,COMPLETED
00100488X,2.40,COMPLETED
00100489Y,2.45,COMPLETED
00100490Z,2.25,COMPLETED
00100491A,2.30,COMPLETED
00100492B,2.35,COMPLETED
00100493C,3.00,COMPLETED
00100494D,2.45,COMPLETED
00100495E,2.85,COMPLETED
00100496F,2.35,COMPLETED
00100497G,2.35,COMPLETED
00100498H,2.35,COMPLETED
00100499I,2.40,COMPLETED
00100500J,2.35,COMPLETED
00100501K,2.50,COMPLETED
00100502L,2.45,COMPLETED
00100503M,2.30,COMPLETED
00100504N,3.00,COMPLETED
00100505O,2.30,COMPLETED
00100506P,2.45,COMPLETED
00100507Q,2.70,COMPLETED
00100508R,2.75,COMPLETED
00100509S,2.75,COMPLETED
00100510T,2.70,COMPLETED
00100511U,2.85,COMPLETED
00100512V,2.85,COMPLETED
00100513W,2.90,COMPLETED
00100514X,2.80,COMPLETED
00100515Y,2.75,COMPLETED
00100516Z,2.80,COMPLETED
00100517A,2.95,COMPLETED
00100518B,2.90,COMPLETED
00100519C,3.20,COMPLETED
00100520D,2.90,COMPLETED
00100521E,2.70,COMPLETED
00100522F,2.80,COMPLETED
00100523G,2.90,COMPLETED
00100524H,2.75,COMPLETED
00100525I,3.00,COMPLETED
00100526J,2.85,COMPLETED
00100527K,3.10,COMPLETED
00100528L,2.80,COMPLETED
00100529M,2.85,COMPLETED
00100530N,2.70,COMPLETED
00100531O,2.85,COMPLETED
00100532P,2.90,COMPLETED
00100533Q,2.90,COMPLETED
00100534R,2.90,COMPLETED
00100535S,2.95,COMPLETED
00100536T,2.75,COMPLETED
00100537U,3.05,COMPLETED
00100538V,3.10,COMPLETED
00100539W,3.00,COMPLETED
00100540X,2.80,COMPLETED
00100541Y,3.00,COMPLETED
00100542Z,2.90,COMPLETED
00100543A,3.10,COMPLETED
00100544B,3.35,COMPLETED
00100545C,2.95,COMPLETED
00100546D,2.80,COMPLETED
00100547E,2.80,COMPLETED
00100548F,2.80,COMPLETED
00100549G,2.70,COMPLETED
00100550H,2.90,COMPLETED
00100551I,2.85,COMPLETED
00100552J,3.05,COMPLETED
00100553K,2.90,COMPLETED
00100554L,2.80,COMPLETED
00100555M,3.00,COMPLETED
00100556N,2.60,COMPLETED
00100557O,2.60,COMPLETED
00100558P,3.10,COMPLETED
00100559Q,2.60,COMPLETED
00100560R,2.70,COMPLETED
00100561S,2.60,COMPLETED
00100562T,3.40,COMPLETED
00100563U,2.55,COMPLETED
00100564V,2.30,COMPLETED
00100565W,2.70,COMPLETED
00100566X,2.60,COMPLETED
00100567Y,3.00,COMPLETED
00100568Z,3.00,COMPLETED
00100569A,2.60,COMPLETED
00100570B,2.60,COMPLETED
00100571C,2.60,COMPLETED
00100572D,2.70,COMPLETED
00100573E,2.55,COMPLETED
00100574F,2.35,COMPLETED
00100575G,2.90,COMPLETED
00100576H,2.60,COMPLETED
00100577I,2.55,COMPLETED
00100578J,2.60,COMPLETED
00100579K,2.55,COMPLETED
00100580L,2.60,COMPLETED
00100581M,2.65,COMPLETED
00100582N,2.60,COMPLETED
00100583O,2.70,COMPLETED
00100584P,2.60,COMPLETED
00100585Q,2.70,COMPLETED
00100586R,2.60,COMPLETED
00100587S,2.70,COMPLETED
00100588T,2.60,COMPLETED
00100589U,2.60,COMPLETED
00100590V,3.25,COMPLETED
00100591W,2.75,COMPLETED
00100592X,2.60,COMPLETED
00100593Y,2.95,COMPLETED
00100594Z,2.55,COMPLETED
00100595A,2.55,COMPLETED
00100596B,3.15,COMPLETED
00100597C,2.55,COMPLETED
00100598D,3.40,COMPLETED
00100599E,2.90,COMPLETED
00100600F,2.70,COMPLETED
00100601G,2.60,COMPLETED
00100602H,3.05,COMPLETED
00100603I,3.15,COMPLETED
00100604J,3.10,COMPLETED
00100605K,2.80,COMPLETED
00100606L,2.80,COMPLETED
00100607M,2.85,COMPLETED
00100608N,2.75,COMPLETED
00100609O,2.85,COMPLETED
00100610P,2.80,COMPLETED
00100611Q,3.55,COMPLETED
00100612R,2.85,COMPLETED
00100613S,2.80,COMPLETED
00100614T,3.05,COMPLETED
00100615U,2.90,COMPLETED
00100616V,2.75,COMPLETED
00100617W,2.70,COMPLETED
00100618X,3.05,COMPLETED
00100619Y,2.75,COMPLETED
00100620Z,2.85,COMPLETED
00100621A,2.85,COMPLETED
00100622B,3.65,COMPLETED
00100623C,2.95,COMPLETED
00100624D,2.95,COMPLETED
00100625E,3.45,COMPLETED
00100626F,3.05,COMPLETED
00100627G,2.85,COMPLETED
00100628H,2.80,COMPLETED
00100629I,3.00,COMPLETED
00100630J,2.65,COMPLETED
00100631K,3.00,COMPLETED
00100632L,2.95,COMPLETED
00100633M,2.80,COMPLETED
00100634N,3.05,COMPLETED
00100635O,2.85,COMPLETED
00100636P,2.90,COMPLETED
00100637Q,2.80,COMPLETED
00100638R,2.80,COMPLETED
00100639S,2.75,COMPLETED
00100640T,3.05,COMPLETED
00100641U,3.45,COMPLETED
00100642V,3.00,COMPLETED
00100643W,3.60,COMPLETED
00100644X,2.75,COMPLETED
00100645Y,2.75,COMPLETED
00100646Z,2.45,COMPLETED
00100647A,2.75,COMPLETED
00100648B,2.70,COMPLETED
00100649C,3.20,COMPLETED
00100650D,2.80,COMPLETED
00100651E,2.95,COMPLETED
00100652F,2.70,COMPLETED
00100653G,3.30,COMPLETED
00100654H,2.80,COMPLETED
00100655I,2.85,COMPLETED
00100656J,3.20,COMPLETED
00100657K,2.90,COMPLETED
00100658L,2.95,COMPLETED
00100659M,2.80,COMPLETED
00100660N,2.85,COMPLETED
00100661O,2.90,COMPLETED
00100662P,3.20,COMPLETED
00100663Q,3.50,COMPLETED
00100664R,2.75,COMPLETED
00100665S,3.15,COMPLETED
00100666T,2.75,COMPLETED
00100667U,3.15,COMPLETED
00100668V,2.80,COMPLETED
00100669W,2.65,COMPLETED
00100670X,2.80,COMPLETED
00100671Y,2.75,COMPLETED
00100672Z,3.05,COMPLETED
00100673A,3.05,COMPLETED
00100674B,3.10,COMPLETED
00100675C,2.90,COMPLETED
00100676D,2.75,COMPLETED
00100677E,2.70,COMPLETED
00100678F,3.00,COMPLETED
00100679G,2.75,COMPLETED
00100680H,2.70,COMPLETED
00100681I,2.60,COMPLETED
00100682J,2.85,COMPLETED
00100683K,2.50,COMPLETED
00100684L,2.75,COMPLETED
00100685M,3.10,COMPLETED
00100686N,2.70,COMPLETED
00100687O,2.55,COMPLETED
00100688P,2.95,COMPLETED
00100689Q,2.80,COMPLETED
00100690R,3.20,COMPLETED
00100691S,3.15,COMPLETED
00100692T,2.85,COMPLETED
00100693U,3.40,COMPLETED
00100694V,3.15,COMPLETED
00100695W,2.90,COMPLETED
00100696X,2.80,COMPLETED
00100697Y,3.00,COMPLETED
00100698Z,2.90,COMPLETED
00100699A,2.60,COMPLETED
00100700B,2.55,COMPLETED
00100701C,3.00,COMPLETED
00100702D,2.90,COMPLETED
00100703E,2.80,COMPLETED
00100704F,2.70,COMPLETED
00100705G,2.75,COMPLETED
00100706H,2.55,COMPLETED
00100707I,2.45,COMPLETED
00100708J,2.10,COMPLETED
00100709K,2.15,COMPLETED
00100710L,1.90,COMPLETED
00100711M,2.00,COMPLETED
00100712N,2.45,COMPLETED
00100713O,2.00,COMPLETED
00100714P,2.30,COMPLETED
00100715Q,2.15,COMPLETED
00100716R,2.15,COMPLETED
00100717S,1.95,COMPLETED
00100718T,1.90,COMPLETED
00100719U,2.45,COMPLETED
00100720V,2.80,COMPLETED
00100721W,2.70,COMPLETED
00100722X,1.95,COMPLETED
00100723Y,2.20,COMPLETED
00100724Z,2.20,COMPLETED
00100725A,2.25,COMPLETED
00100726B,1.95,COMPLETED
00100727C,2.80,COMPLETED
00100728D,2.00,COMPLETED
00100729E,1.90,COMPLETED
00100730F,2.60,COMPLETED
00100731G,2.20,COMPLETED
00100732H,2.20,COMPLETED
00100733I,2.10,COMPLETED
00100734J,2.25,COMPLETED
00100735K,2.55,COMPLETED
00100736L,1.95,COMPLETED
00100737M,2.45,COMPLETED
00100738N,1.95,COMPLETED
00100739O,2.20,COMPLETED
00100740P,2.00,COMPLETED
00100741Q,1.90,COMPLETED
00100742R,2.05,COMPLETED
00100743S,1.90,COMPLETED
00100744T,2.20,COMPLETED
00100745U,2.05,COMPLETED
00100746V,2.30,COMPLETED
00100747W,2.30,COMPLETED
00100748X,2.10,COMPLETED
00100749Y,1.90,COMPLETED
00100750Z,,ABSENT2
00100751A,1.90,COMPLETED
00100752B,2.00,COMPLETED
00100753C,2.40,COMPLETED
00100754D,1.90,COMPLETED
00100755E,3.05,COMPLETED
00100756F,3.40,COMPLETED
00100757G,2.80,COMPLETED
00100758H,2.85,COMPLETED
00100759I,2.80,COMPLETED
00100760J,2.95,COMPLETED
00100761K,3.00,COMPLETED
00100762L,2.95,COMPLETED
00100763M,3.10,COMPLETED
00100764N,2.80,COMPLETED
00100765O,2.85,COMPLETED
00100766P,2.80,COMPLETED
00100767Q,2.75,COMPLETED
00100768R,2.70,COMPLETED
00100769S,2.80,COMPLETED
00100770T,3.05,COMPLETED
00100771U,2.80,COMPLETED
00100772V,3.05,COMPLETED
00100773W,2.80,COMPLETED
00100774X,2.70,COMPLETED
00100775Y,2.70,COMPLETED
00100776Z,2.75,COMPLETED
00100777A,2.95,COMPLETED
00100778B,2.70,COMPLETED
00100779C,3.05,COMPLETED
00100780D,3.50,COMPLETED
00100781E,2.85,COMPLETED
00100782F,2.70,COMPLETED
00100783G,2.65,COMPLETED
00100784H,2.80,COMPLETED
00100785I,2.70,COMPLETED
00100786J,3.30,COMPLETED
00100787K,2.55,COMPLETED
00100788L,2.85,COMPLETED
00100789M,2.70,COMPLETED
00100790N,2.65,COMPLETED
00100791O,2.65,COMPLETED
00100792P,2.80,COMPLETED
00100793Q,3.15,COMPLETED
00100794R,,ABSENT8
00100795S,2.65,COMPLETED
00100796T,2.75,COMPLETED
00100797U,3.25,COMPLETED
00100798V,2.90,COMPLETED
00100799W,2.80,COMPLETED
00100800X,2.95,COMPLETED
00100801Y,3.20,COMPLETED
00100802Z,2.80,COMPLETED
00100803A,2.65,COMPLETED
00100804B,2.75,COMPLETED
00100805C,2.60,COMPLETED
00100806D,2.70,COMPLETED
00100807E,3.00,COMPLETED
00100808F,2.50,COMPLETED
00100809G,2.90,COMPLETED
00100810H,2.80,COMPLETED
00100811I,2.85,COMPLETED
00100812J,2.35,COMPLETED
00100813K,2.45,COMPLETED
00100814L,2.65,COMPLETED
00100815M,2.70,COMPLETED
00100816N,2.70,COMPLETED
00100817O,3.20,COMPLETED
00100818P,2.15,COMPLETED
00100819Q,3.45,COMPLETED
00100820R,2.40,COMPLETED
00100821S,2.65,COMPLETED
00100822T,2.30,COMPLETED
00100823U,2.20,COMPLETED
00100824V,2.25,COMPLETED
00100825W,2.80,COMPLETED
00100826X,2.80,COMPLETED
00100827Y,2.45,COMPLETED
00100828Z,3.50,COMPLETED
00100829A,3.10,COMPLETED
00100830B,2.60,COMPLETED
00100831C,2.35,COMPLETED
00100832D,3.20,COMPLETED
00100833E,2.40,COMPLETED
00100834F,2.80,COMPLETED
00100835G,3.15,COMPLETED
00100836H,3.50,COMPLETED
00100837I,3.15,COMPLETED
00100838J,3.45,COMPLETED
00100839K,3.15,COMPLETED
00100840L,3.50,COMPLETED
00100841M,3.45,COMPLETED
00100842N,3.50,COMPLETED
00100843O,4.00,COMPLETED
00100844P,2.85,COMPLETED
00100845Q,3.50,COMPLETED
00100846R,3.45,COMPLETED
00100847S,2.45,COMPLETED
00100848T,2.65,COMPLETED
00100849U,3.00,COMPLETED
00100850V,3.05,COMPLETED
00100851W,2.80,COMPLETED
00100852X,2.75,COMPLETED
00100853Y,2.65,COMPLETED
00100854Z,2.55,COMPLETED
00100855A,2.50,COMPLETED
00100856B,2.80,COMPLETED
00100857C,2.40,COMPLETED
00100858D,2.55,COMPLETED
00100859E,2.40,COMPLETED
00100860F,2.55,COMPLETED
00100861G,3.05,COMPLETED
00100862H,2.45,COMPLETED
00100863I,2.30,COMPLETED
00100864J,2.65,COMPLETED
00100865K,2.80,COMPLETED
00100866L,2.45,COMPLETED
00100867M,2.30,COMPLETED
00100868N,2.60,COMPLETED
